trip_id,arrival_time,departure_time,stop_id,stop_sequence,stop_headsign
1969,24:00:00,24:00:00,19,1,Hydra
1969,,,106,2,Hydra
1969,,,32,3,Hydra
1969,,,131,4,Hydra
1969,,,52,5,Hydra
1969,,,75,6,Hydra
1969,,,185,7,Hydra
1969,24:30:00,24:30:00,182,100,Hydra
1971,06:10:00,06:10:00,19,1,Hydra
1971,,,106,2,Hydra
1971,,,32,3,Hydra
1971,,,131,4,Hydra
1971,,,52,5,Hydra
1971,,,75,6,Hydra
1971,,,185,7,Hydra
1971,06:40:00,06:40:00,182,100,Hydra
1973,07:10:00,07:10:00,19,1,Hydra
1973,,,106,2,Hydra
1973,,,32,3,Hydra
1973,,,131,4,Hydra
1973,,,52,5,Hydra
1973,,,75,6,Hydra
1973,,,185,7,Hydra
1973,07:40:00,07:40:00,182,100,Hydra
1975,08:10:00,08:10:00,19,1,Hydra
1975,,,106,2,Hydra
1975,,,32,3,Hydra
1975,,,131,4,Hydra
1975,,,52,5,Hydra
1975,,,75,6,Hydra
1975,,,185,7,Hydra
1975,08:40:00,08:40:00,182,100,Hydra
1977,09:10:00,09:10:00,19,1,Hydra
1977,,,106,2,Hydra
1977,,,32,3,Hydra
1977,,,131,4,Hydra
1977,,,52,5,Hydra
1977,,,75,6,Hydra
1977,,,185,7,Hydra
1977,09:40:00,09:40:00,182,100,Hydra
1979,10:10:00,10:10:00,19,1,Hydra
1979,,,106,2,Hydra
1979,,,32,3,Hydra
1979,,,131,4,Hydra
1979,,,52,5,Hydra
1979,,,75,6,Hydra
1979,,,185,7,Hydra
1979,10:40:00,10:40:00,182,100,Hydra
1981,11:10:00,11:10:00,19,1,Hydra
1981,,,106,2,Hydra
1981,,,32,3,Hydra
1981,,,131,4,Hydra
1981,,,52,5,Hydra
1981,,,75,6,Hydra
1981,,,185,7,Hydra
1981,11:40:00,11:40:00,182,100,Hydra
1983,12:10:00,12:10:00,19,1,Hydra
1983,,,106,2,Hydra
1983,,,32,3,Hydra
1983,,,131,4,Hydra
1983,,,52,5,Hydra
1983,,,75,6,Hydra
1983,,,185,7,Hydra
1983,12:40:00,12:40:00,182,100,Hydra
