route_id,service_id,trip_id,trip_headsign
1a,2,1,1er Mai
1b,2,2,El Harrach
1a,2,3,1er Mai
1b,2,4,El Harrach
1a,2,5,1er Mai
1b,2,6,El Harrach
1a,2,7,1er Mai
1b,2,8,El Harrach
1a,2,9,1er Mai
1b,2,10,El Harrach
1a,2,11,1er Mai
1b,2,12,El Harrach
1a,2,13,1er Mai
1b,2,14,El Harrach
1a,2,15,1er Mai
1b,2,16,El Harrach
1a,2,17,1er Mai
1b,2,18,El Harrach
1a,2,19,1er Mai
1b,2,20,El Harrach
1a,2,21,1er Mai
1b,2,22,El Harrach
1a,2,23,1er Mai
1b,2,24,El Harrach
1a,3,25,1er Mai
1b,3,26,El Harrach
1a,3,27,1er Mai
1b,3,28,El Harrach
1a,3,29,1er Mai
1b,3,30,El Harrach
1a,3,31,1er Mai
1b,3,32,El Harrach
1a,3,33,1er Mai
1b,3,34,El Harrach
1a,3,35,1er Mai
1b,3,36,El Harrach
1a,3,37,1er Mai
1b,3,38,El Harrach
1a,3,39,1er Mai
1b,3,40,El Harrach
1a,3,41,1er Mai
1b,3,42,El Harrach
1a,3,43,1er Mai
1b,3,44,El Harrach
1a,1,45,1er Mai
1b,1,46,El Harrach
1a,1,47,1er Mai
1a,1,48,1er Mai
1b,1,49,El Harrach
1a,1,50,1er Mai
1b,1,51,El Harrach
1a,1,52,1er Mai
1b,1,53,El Harrach
1b,1,54,El Harrach
1a,1,55,1er Mai
1b,1,56,El Harrach
1a,1,57,1er Mai
1b,1,58,El Harrach
1a,1,59,1er Mai
1b,1,60,El Harrach
1a,1,61,1er Mai
1b,1,62,El Harrach
1a,1,63,1er Mai
1b,1,64,El Harrach
1a,1,65,1er Mai
1a,1,66,1er Mai
1b,1,67,El Harrach
1a,1,68,1er Mai
1b,1,69,El Harrach
1a,1,70,1er Mai
1b,1,71,El Harrach
1a,1,72,1er Mai
1b,1,73,El Harrach
1b,1,74,El Harrach
1a,1,75,1er Mai
1b,1,76,El Harrach
1a,1,77,1er Mai
1a,1,78,1er Mai
1b,1,79,El Harrach
1a,1,80,1er Mai
1b,1,81,El Harrach
1b,1,82,El Harrach
1a,1,83,1er Mai
1b,1,84,El Harrach
2a,2,85,El Anasser
2b,2,86,8 Mai 45
2a,2,87,El Anasser
2b,2,88,8 Mai 45
2a,2,89,El Anasser
2b,2,90,8 Mai 45
2a,2,91,El Anasser
2b,2,92,8 Mai 45
2a,2,93,El Anasser
2b,2,94,8 Mai 45
2a,2,95,El Anasser
2b,2,96,8 Mai 45
2a,2,97,El Anasser
2b,2,98,8 Mai 45
2a,2,99,El Anasser
2b,2,100,8 Mai 45
2a,2,101,El Anasser
2b,2,102,8 Mai 45
2a,2,103,El Anasser
2b,2,104,8 Mai 45
2a,2,105,El Anasser
2b,2,106,8 Mai 45
2a,2,107,El Anasser
